Service Area,Zip,Stark
Central Region ,69149,
Central Region ,69345,
"County - Arthur, NE (Stark)",69121,Y
"County - Blaine, NE",69157,
"County - Blaine, NE",68833,
"County - Box Butte, NE",69348,
"County - Box Butte, NE",69301,
"County - Chase, NE",69023,
"County - Chase, NE",69027,
"County - Chase, NE",69033,
"County - Chase, NE",69045,
CSA,69345,
CSA,69348,
CSA,69346,
CSA,69301,
CSA,69125,
CSA,69331,
CSA,69334,
CSA,69336,
CSA,69341,
CSA,69352,
CSA,69353,
CSA,69355,
CSA,69356,
CSA,69357,
CSA,69358,
CSA,69361,
CSA,69363,
CSA,69131,
CSA,69141,
CSA,69149,
CSA,69156,
CSA,69160,
CSA,69162,
CSA,69128,
CSA,69133,
CSA,69145,
CSA,69147,
CSA,69148,
CSA,69154,
CSA,69190,
CSA,69122,
CSA,69152,
CSA,69166,
CSA,69201,
CSA,69366,
CSA,69221,
CSA,69220,
CSA,69219,
CSA,69218,
CSA,69216,
CSA,69350,
CSA,69135,
CSA,69212,
CSA,69211,
CSA,69333,
CSA,69161,
CSA,69129,
CSA,69337,
CSA,69339,
CSA,69354,
CSA,69367,
CSA,69335,
CSA,69340,
CSA,69343,
CSA,69347,
CSA,69351,
CSA,69360,
CSA,69365,
CSA,82219,
CSA,82240,
CSA,82212,
CSA,82223,
CSA,82243,
CSA,82244,
CSA,82217,
CSA,82218,
CSA,82225,
CSA,82227,
CSA,82222,
Stark SA 2,69345,Y
PSA,69345,
PSA,69348,
PSA,69346,
PSA,69301,
PSA,69125,
PSA,69331,
PSA,69334,
PSA,69336,
PSA,69341,
PSA,69352,
PSA,69353,
PSA,69355,
PSA,69356,
PSA,69357,
PSA,69358,
PSA,69361,
PSA,69363,
Stark SA 1,69121,Y
Stark SA 1,69146,Y
Stark SA 1,69127,Y
Stark SA 1,69140,Y
Stark SA 1,69153,Y
Stark SA 1,69155,Y
Stark SA 1,69144,Y
Stark SA 1,69168,Y
Stark SA 1,69045,Y
Stark SA 1,69023,Y
Stark SA 1,69033,Y
Stark SA 1,69027,Y
Stark SA 1,69134,Y
Stark SA 1,69150,Y
Stark SA 1,82244,Y
Stark SA 1,82217,Y
Stark SA 1,82221,Y
Stark SA 1,82227,Y
Stark SA 1,82222,Y
Stark SA 1,82240,Y
Stark SA 1,82212,Y
Stark SA 1,82223,Y
Stark SA 1,82243,Y
Stark SA 1,82225,Y
Stark SA 1,82219,Y
Stark SA 1,69131,Y
Stark SA 1,69141,Y
Stark SA 1,69149,Y
Stark SA 1,69156,Y
Stark SA 1,69160,Y
Stark SA 1,69162,Y
Stark SA 1,69128,Y
Stark SA 1,69133,Y
Stark SA 1,69145,Y
Stark SA 1,69147,Y
Stark SA 1,69148,Y
Stark SA 1,69154,Y
Stark SA 1,69190,Y
Stark SA 1,69122,Y
Stark SA 1,69152,Y
Stark SA 1,69166,Y
Stark SA 1,69201,Y
Stark SA 1,69366,Y
Stark SA 1,69221,Y
Stark SA 1,69220,Y
Stark SA 1,69219,Y
Stark SA 1,69218,Y
Stark SA 1,69216,Y
Stark SA 1,69350,Y
Stark SA 1,69135,Y
Stark SA 1,69212,Y
Stark SA 1,69211,Y
Stark SA 1,69333,Y
Stark SA 1,69161,Y
Stark SA 1,69129,Y
Stark SA 1,69337,Y
Stark SA 1,69339,Y
Stark SA 1,69354,Y
Stark SA 1,69367,Y
Stark SA 1,69335,Y
Stark SA 1,69340,Y
Stark SA 1,69343,Y
Stark SA 1,69347,Y
Stark SA 1,69351,Y
Stark SA 1,69360,Y
Stark SA 1,69365,Y
Stark SA 1,82218,Y
Strategic SA,82243,
Strategic SA,82244,
Strategic SA,82217,
Strategic SA,82221,
Strategic SA,82227,
Strategic SA,82222,
Strategic SA,82225,
Strategic SA,82219,
Strategic SA,69345,
Strategic SA,69346,
Strategic SA,69301,
Strategic SA,69125,
Strategic SA,69331,
Strategic SA,69334,
Strategic SA,69336,
Strategic SA,69341,
Strategic SA,69352,
Strategic SA,69353,
Strategic SA,69355,
Strategic SA,69356,
Strategic SA,69357,
Strategic SA,69358,
Strategic SA,69361,
Strategic SA,69363,
Strategic SA,69131,
Strategic SA,69141,
Strategic SA,69149,
Strategic SA,69156,
Strategic SA,69160,
Strategic SA,69162,
Strategic SA,69128,
Strategic SA,69133,
Strategic SA,69145,
Strategic SA,69147,
Strategic SA,69148,
Strategic SA,69154,
Strategic SA,69190,
Strategic SA,69122,
Strategic SA,69129,
Strategic SA,69337,
Strategic SA,69339,
Strategic SA,69354,
Strategic SA,69367,
Strategic SA,69335,
Strategic SA,69340,
Strategic SA,69347,
Strategic SA,69351,
Strategic SA,69360,
Strategic SA,69365,
Strategic SA,69135,
Strategic SA,69201,
Strategic SA,69211,
Strategic SA,69212,
Strategic SA,69216,
Strategic SA,69218,
Strategic SA,69219,
Strategic SA,69220,
Strategic SA,69221,
Strategic SA,69333,
Strategic SA,69350,
Strategic SA,69366,
Strategic SA,69101,
Strategic SA,69103,
Strategic SA,69123,
Strategic SA,69132,
Strategic SA,69143,
Strategic SA,69151,
Strategic SA,69165,
Strategic SA,69169,
Strategic SA,69170,
Strategic SA,82001,
Strategic SA,82002,
Strategic SA,82003,
Strategic SA,82005,
Strategic SA,82006,
Strategic SA,82007,
Strategic SA,82009,
Strategic SA,82010,
Strategic SA,82082,
Strategic SA,82050,
Strategic SA,82081,
Strategic SA,82201,
Strategic SA,82210,
Strategic SA,82213,
Strategic SA,82214,
Strategic SA,82215,
Strategic SA,69348,
Strategic SA,69343,
Strategic SA,82053,
Strategic SA,82054,
Strategic SA,82061,
Strategic SA,82059,
Strategic SA,82218,
